sinks-file	CLEAN	-
sinks-gcp	CLEAN	-
sinks-gcp-chronicle	CLEAN	-
sinks-greptimedb_metrics	FORBIDDEN	ring v0.17.14,rustls v0.23.37,rustls-webpki v0.103.13,tokio-rustls v0.26.2
sinks-greptimedb_logs	FORBIDDEN	ring v0.17.14,rustls v0.23.37,rustls-webpki v0.103.13,tokio-rustls v0.26.2
sinks-honeycomb	CLEAN	-
sinks-http	CLEAN	-
sinks-humio	CLEAN	-
sinks-influxdb	CLEAN	-
sinks-kafka	CLEAN	-
sinks-keep	CLEAN	-
sinks-mezmo	CLEAN	-
sinks-loki	CLEAN	-
sinks-mqtt	FORBIDDEN	ring v0.17.14,rustls v0.22.4,rustls-webpki v0.102.8,tokio-rustls v0.25.0
sinks-nats	FORBIDDEN	curve25519-dalek v4.1.3,ed25519 v2.2.3,ed25519-dalek v2.2.0,nkeys v0.4.5,ring v0.17.14,rustls v0.23.37,rustls-webpki v0.103.13,sha2 v0.10.9,tokio-rustls v0.26.2
sinks-new_relic_logs	CLEAN	-
sinks-new_relic	CLEAN	-
sinks-opentelemetry	CLEAN	-
sinks-papertrail	CLEAN	-
sinks-prometheus	CLEAN	-
sinks-postgres	FORBIDDEN	hmac v0.12.1,md-5 v0.10.6,ring v0.17.14,rustls v0.23.37,rustls-webpki v0.103.13,sha2 v0.10.9
sinks-pulsar	FORBIDDEN	curve25519-dalek v4.1.3,ecdsa v0.16.9,ed25519 v2.2.3,ed25519-dalek v2.2.0,hmac v0.12.1,hyper-rustls v0.27.5,p256 v0.13.2,p384 v0.13.0,ring v0.17.14,rsa v0.9.10,rustls v0.23.37,rustls-webpki v0.103.13,sha2 v0.10.9,tokio-rustls v0.26.2
sinks-redis	CLEAN	-
sinks-sematext	CLEAN	-
sinks-socket	CLEAN	-
sinks-splunk_hec	CLEAN	-
sinks-statsd	CLEAN	-
sinks-vector	CLEAN	-
sinks-websocket	FORBIDDEN	sha1 v0.10.6
sinks-websocket-server	FORBIDDEN	sha1 v0.10.6
sinks-webhdfs	FORBIDDEN	md-5 v0.10.6
api	CLEAN	-
api-client	CLEAN	-
enrichment-tables	CLEAN	-
codecs-syslog	CLEAN	-
codecs-opentelemetry	CLEAN	-
codecs-parquet	CLEAN	-
secrets	FORBIDDEN	hmac v0.12.1,ring v0.17.14,sha2 v0.10.9
vrl-functions-env	CLEAN	-
vrl-functions-system	CLEAN	-
vrl-functions-network	FORBIDDEN	hyper-rustls v0.27.5,ring v0.17.14,rustls v0.23.37,rustls-webpki v0.103.13,tokio-rustls v0.26.2
vrl-functions-crypto	FORBIDDEN	aes v0.8.3,aes v0.9.1,aes-siv v0.7.0,cbc v0.2.1,cfb-mode v0.9.1,chacha20poly1305 v0.11.0,crypto_secretbox v0.1.1,ctr v0.10.1,ctr v0.9.2,hmac v0.13.0,md-5 v0.11.0,ofb v0.7.1,salsa20 v0.10.2,sha1 v0.11.0,sha2 v0.11.0,sha3 v0.12.0
